Ticker,Book Value,Close
ICICIBANK.NS,211.714,520.1
ICIL.NS,56.871,149.85
ICRA.NS,739.255,2965.65
ICSA.NS,-293.432,0.2
IDBI.NS,34.014,31.9
IDEA.NS,-9.292,10.4
IDFC.NS,52.571,38.1
IFBAGRO.NS,428.164,472.6
IFBIND.NS,155.721,1108.0
IFCI.NS,30.973,9.2
IGARASHI.NS,134.046,333.95
IGL.NS,79.741,490.05
IGPL.NS,205.462,418.15
IIFL.NS,132.016,113.45
IITL.NS,150.142,68.65
IMFA.NS,427.296,286.3
IMPAL.NS,751.91,570.15
IMPEXFERRO.NS,-26.272,1.05
INDBANK.NS,14.024,11.25
INDHOTEL.NS,31.029,122.95
INDIACEM.NS,179.461,147.55
INDIAGLYCO.NS,344.111,295.2
INDIANB.NS,331.391,88.45
INDIANCARD.NS,129.33,136.3
INDIANHUME.NS,115.197,197.05
INDIGO.NS,47.983,1687.9
INDLMETER.NS,117.159,17.3
INDNIPPON.NS,185.422,361.9
INDOCO.NS,77.959,296.5
INDORAMA.NS,5.011,36.45
INDOSOLAR.NS,-26.379,1.65
INDOTECH.NS,111.744,114.15
INDOTHAI.NS,49.75,26.95
INDOWIND.NS,22.259,3.9
INDRAMEDCO.NS,27.965,58.45
INDSWFTLAB.NS,110.928,61.9
INDSWFTLTD.NS,-132.812,3.85
INDTERRAIN.NS,43.907,34.5
INDUSINDBK.NS,524.476,866.95
INFOMEDIA.NS,-8.413,4.3
INFRATEL.NS,74.352,239.1
INFY.NS,2.268,1240.3
INGERRAND.NS,120.566,631.9
INOXLEISUR.NS,57.847,282.8
INOXWIND.NS,69.323,59.6
INSECTICID.NS,386.023,465.85
INTEGRA.NS,-8.797,1.5
INTELLECT.NS,90.319,307.1
INVENTURE.NS,20.561,16.9
IOB.NS,9.983,10.7
IOC.NS,113.042,91.7
IOLCP.NS,186.488,718.5
IPCALAB.NS,345.163,2165.45
IRB.NS,190.152,112.15
ISFT.NS,89.092,66.8
ISMTLTD.NS,-76.083,11.7
ITC.NS,48.064,209.5
ITDCEM.NS,57.145,58.8
ITI.NS,23.92,127.75
IVC.NS,7.304,4.7
IVP.NS,69.445,80.0
IZMO.NS,159.627,48.8
JAGRAN.NS,67.467,42.6
JAGSNPHARM.NS,44.869,72.1
JAIBALAJI.NS,-160.343,17.8
JAICORPLTD.NS,72.08,92.8
JAIHINDPRO.NS,-356.482,1.55
JAINSTUDIO.NS,12.239,1.85
JAMNAAUTO.NS,12.607,59.55
JAYAGROGN.NS,116.293,111.95
JAYBARMARU.NS,190.298,240.8
JAYNECOIND.NS,-12.627,5.05
JAYSREETEA.NS,128.562,72.6
JBCHEPHARM.NS,210.343,1030.15
JBFIND.NS,46.358,13.1
JBMA.NS,148.724,274.6
JETAIRWAYS.NS,-628.459,104.55
JHS.NS,29.228,23.4
JIKIND.NS,-3.156,0.7
JINDALPHOT.NS,23.745,25.1
JINDALPOLY.NS,509.647,467.15
JINDALSAW.NS,212.272,78.1
JINDALSTEL.NS,264.037,267.15
JINDCOT.NS,17.33,1.45
JINDRILL.NS,440.287,84.75
JINDWORLD.NS,18.855,57.4
JISLDVREQS.NS,60.217,12.55
JISLJALEQS.NS,60.217,19.0
JKCEMENT.NS,427.908,1905.8
JKIL.NS,239.253,127.85
JKLAKSHMI.NS,155.156,336.85
JKPAPER.NS,126.877,106.8
JKTYRE.NS,90.67,72.7
JMA.NS,58.201,32.2
JMCPROJECT.NS,26.839,67.5
JMFINANCIL.NS,72.838,84.8
JMTAUTOLTD.NS,2.622,2.6
JOCIL.NS,202.975,171.5
JPASSOCIAT.NS,5.751,6.45
JPINFRATEC.NS,-17.508,2.0
JPPOWER.NS,9.153,3.3
JSL.NS,56.365,79.4
JSLHISAR.NS,99.588,152.4
JUBILANT.NS,375.243,852.8
JSWENERGY.NS,79.234,69.05
JSWHL.NS,7251.986,3942.25
JUBLFOOD.NS,85.184,2725.5
JUBLINDS.NS,62.727,241.2
JUSTDIAL.NS,188.488,620.6
JVLAGRO.NS,-77.688,0.65
JYOTHYLAB.NS,36.487,150.85
JYOTISTRUC.NS,-668.612,5.5
KABRAEXTRU.NS,79.389,98.1
KAJARIACER.NS,111.827,687.5
KAKATCEM.NS,287.721,185.05
KALPATPOWR.NS,226.292,306.4
KALYANIFRG.NS,280.711,146.05
KAMATHOTEL.NS,-52.15,37.75
KAMDHENU.NS,68.776,113.4
KANANIIND.NS,5.711,3.9
KANORICHEM.NS,130.375,43.2
KANSAINER.NS,70.333,571.8
KARMAENG.NS,22.966,12.6
KARURVYSYA.NS,85.488,46.15
KAUSHALYA.NS,11.235,1.6
KAVVERITEL.NS,7.892,1.65
KAYA.NS,44.666,276.65
KCP.NS,69.063,69.8
KCPSUGIND.NS,26.403,16.35
KDDL.NS,146.974,214.1
KEC.NS,118.219,369.7
KECL.NS,-11.633,13.7
KEI.NS,181.736,483.0
KELLTONTEC.NS,45.046,72.25
KERNEX.NS,47.189,25.2
KESARENT.NS,52.879,32.1
KESORAMIND.NS,-12.217,62.0
KGL.NS,8.704,0.3
KHAITANLTD.NS,50.177,17.7
KHANDSE.NS,20.007,22.2
KICL.NS,7858.069,1407.9
KILITCH.NS,76.617,96.75
KIRIINDUS.NS,581.916,528.1
KIRLOSBROS.NS,119.464,127.75
KIRLOSENG.NS,120.561,121.45
KIRLOSIND.NS,1305.494,799.0
KITEX.NS,96.448,110.75
KKCL.NS,356.087,809.35
KMSUGAR.NS,20.171,12.15
KNRCON.NS,110.949,333.05
KOHINOOR.NS,-143.771,8.7
KOKUYOCMLN.NS,23.307,65.85
KOLTEPATIL.NS,113.339,241.9
KOPRAN.NS,50.907,136.85
KOTAKBANK.NS,401.193,1988.9
KOTARISUG.NS,22.574,18.95
KOTHARIPET.NS,18.36,20.65
KOTHARIPRO.NS,392.466,67.95
KPRMILL.NS,295.617,879.5
KRBL.NS,144.858,245.55
KRIDHANINF.NS,13.008,3.7
KSCL.NS,213.916,516.65
KSERASERA.NS,0.106,0.2
KSK.NS,-53.068,0.65
KSL.NS,233.129,270.55
KTIL.NS,20.763,35.45
KWALITY.NS,-86.613,3.1
LAKPRE.NS,23.595,4.8
LAKSHVILAS.NS,21.384,7.65
LALPATHLAB.NS,140.19,2297.95
LAMBODHARA.NS,65.187,47.4
LAOPALA.NS,49.108,242.4
LAXMIMACH.NS,1555.356,4641.15
LFIC.NS,125.277,67.25
LGBBROSLTD.NS,233.183,284.4
LGBFORGE.NS,1.324,3.7
LIBERTSHOE.NS,101.968,148.1
LICHSGFIN.NS,394.002,367.0
LINCOLN.NS,174.581,229.6
LINCPEN.NS,86.759,181.1
LINDEINDIA.NS,261.11,977.5
LOKESHMACH.NS,76.617,36.15
