Ticker,Book Value,LTP
SHARONBIO.NS,-53.564,33.0
SHEMAROO.NS,211.49,74.45
SHILPI.NS,-11.629,1.15
SHIRPUR-G.NS,32.641,8.2
SHOPERSTOP.NS,-14.56,202.4
SHREYAS.NS,168.68,67.7
SHRIRAMEPC.NS,12.186,4.55
SHYAMTEL.NS,-11.515,7.05
SICAGEN.NS,93.805,15.9
SICAL.NS,84.121,16.3
SIL.NS,-7.028,9.65
SILINV.NS,703.795,199.75
SIMBHALS.NS,-12.889,7.7
SIMPLEXINF.NS,309.157,38.5
SINTEX.NS,36.928,4.15
SITASHREE.NS,-56.355,0.3
SMPL.NS,-42.343,0.15
SOMATEX.NS,-18.035,2.8
SOUTHBANK.NS,31.276,9.05
SPARC.NS,-1.786,183.85
SPENTEX.NS,-99.772,0.85
SPMLINFRA.NS,104.968,13.5
SPYL.NS,-2.559,0.5
SREINFRA.NS,77.335,6.7
SRIPIPES.NS,299.974,147.7
SRSLTD.NS,-45.699,0.15
STARPAPER.NS,313.126,115.5
STCINDIA.NS,-774.918,76.5
STEL.NS,340.843,69.2
STINDIA.NS,-9.169,3.3
SUJANAUNI.NS,-38.048,0.4
SUMEETINDS.NS,-7.399,2.7
SUMMITSEC.NS,3330.04,535.15
SUPERHOUSE.NS,320.414,115.2
SUPERSPIN.NS,20.5,4.8
SUPREMEINF.NS,-851.815,11.5
SURYALAXMI.NS,141.932,33.3
SUZLON.NS,-3.964,5.6
SWELECTES.NS,474.634,177.95
SYNCOM.NS,-3.701,2.25
TAKE.NS,107.735,50.4
TALWALKARS.NS,74.074,2.05
TANTIACONS.NS,-22.103,1.8
TARAPUR.NS,14.867,2.85
TATACOMM.NS,-19.229,1064.95
TATAINVEST.NS,2102.289,1012.3
TATAMTRDVR.NS,175.341,77.2
TCIFINANCE.NS,-33.464,4.95
TECHIN.NS,783.468,2.85
TECHNOFAB.NS,182.958,10.2
TEXMOPIPES.NS,81.478,20.8
TFL.NS,8.24,2.8
TGBHOTELS.NS,33.472,5.8
THIRUSUGAR.NS,190.481,4.6
TI.NS,-1.388,28.75
TNTELE.NS,-25.457,1.85
TREEHOUSE.NS,72.959,6.6
TRF.NS,-162.969,99.3
TRIGYN.NS,173.17,76.75
TTML.NS,-92.122,7.85
UJAAS.NS,10.397,2.75
UMESLTD.NS,5.29,2.4
UNIENTER.NS,318.581,69.9
UNIONBANK.NS,97.283,30.5
UNIPLY.NS,38.883,4.0
UNITECH.NS,17.634,1.85
UNITY.NS,-91.251,1.45
UNIVCABLES.NS,297.698,137.7
UTTAMSTL.NS,-262.062,7.2
VARDMNPOLY.NS,-130.512,14.8
VHL.NS,6754.025,1448.55
VICEROY.NS,-93.824,3.15
VIDEOIND.NS,-327.232,6.6
VIMALOIL.NS,-430.794,3.15
VINDHYATEL.NS,2180.175,836.65
VISASTEEL.NS,-106.571,6.4
VISESHINFO.NS,1.221,0.05
VIVIMEDLAB.NS,61.454,18.35
VLSFINANCE.NS,513.789,67.75
WANBURY.NS,-57.392,40.35
WILLAMAGOR.NS,-89.888,21.3
WINDMACHIN.NS,40.597,17.8
WINSOME.NS,-46.303,0.15
WSI.NS,-32.387,3.8
XLENERGY.NS,-28.338,0.25
ZENITHEXPO.NS,143.813,64.9
ZICOM.NS,-95.514,2.2
ZODJRDMKJ.NS,131.338,28.75
ZUARIGLOB.NS,381.974,64.15
A2ZINFRA.NS,21.642,4.85
AARVEEDEN.NS,98.48,18.95
ABAN.NS,-2622.449,28.8
ADHUNIK.NS,127.692,0.5
ADSL.NS,91.359,32.25
AHLEAST.NS,658.803,163.9
